signal	P(dit) 	P(dah)	P(spc)	P(chrspc)	P(wrdspc)	P(pause)
0.650000	0.550000	0.450000	0.000000	0.000000	0.000000	0.000000
0.653522	0.617809	0.382191	0.000000	0.000000	0.000000	0.000000
0.671638	0.604369	0.395631	0.000000	0.000000	0.000000	0.000000
0.657464	0.578357	0.421643	0.000000	0.000000	0.000000	0.000000
0.641744	0.442881	0.557119	0.000000	0.000000	0.000000	0.000000
0.696643	0.392560	0.607440	0.000000	0.000000	0.000000	0.000000
0.589138	0.325267	0.674733	0.000000	0.000000	0.000000	0.000000
0.611636	0.254041	0.745959	0.000000	0.000000	0.000000	0.000000
0.581256	0.138335	0.861665	0.000000	0.000000	0.000000	0.000000
0.680811	0.100200	0.899800	0.000000	0.000000	0.000000	0.000000
0.652517	0.072230	0.927770	0.000000	0.000000	0.000000	0.000000
0.693799	0.052366	0.947634	0.000000	0.000000	0.000000	0.000000
0.684839	0.000049	0.001205	0.580401	0.388692	0.015317	0.014336
0.165977	0.000003	0.000003	0.593580	0.394568	0.006894	0.004953
0.148976	0.000031	0.000026	0.596415	0.390086	0.007822	0.005620
0.155094	0.000203	0.000166	0.515394	0.468100	0.009389	0.006747
0.158314	0.549998	0.450002	0.000000	0.000000	0.000000	0.000000
0.640955	0.550267	0.449733	0.000000	0.000000	0.000000	0.000000
0.664440	0.543920	0.456080	0.000000	0.000000	0.000000	0.000000
0.612584	0.526978	0.473022	0.000000	0.000000	0.000000	0.000000
0.618813	0.199778	0.800222	0.000000	0.000000	0.000000	0.000000
0.627352	0.080914	0.919086	0.000000	0.000000	0.000000	0.000000
0.648328	0.046184	0.953816	0.000000	0.000000	0.000000	0.000000
0.607319	0.025988	0.974012	0.000000	0.000000	0.000000	0.000000
0.714506	0.014540	0.985460	0.000000	0.000000	0.000000	0.000000
0.774129	0.008149	0.991851	0.000000	0.000000	0.000000	0.000000
0.706614	0.004614	0.995386	0.000000	0.000000	0.000000	0.000000
0.610673	0.002679	0.997321	0.000000	0.000000	0.000000	0.000000
0.648771	0.000004	0.002457	0.578605	0.402095	0.000779	0.016060
0.187898	0.000044	0.000043	0.589835	0.403791	0.000577	0.005709
0.199313	0.000047	0.000039	0.575802	0.416995	0.000654	0.006463
0.162070	0.001151	0.000942	0.502478	0.487111	0.000765	0.007553
0.196538	0.549995	0.450005	0.000000	0.000000	0.000000	0.000000
0.692513	0.553463	0.446537	0.000000	0.000000	0.000000	0.000000
0.641925	0.541169	0.458831	0.000000	0.000000	0.000000	0.000000
0.643077	0.467868	0.532132	0.000000	0.000000	0.000000	0.000000
0.661064	0.000003	0.000020	0.581022	0.334974	0.068985	0.014997
0.125917	0.000007	0.000006	0.603740	0.363844	0.026616	0.005786
0.151253	0.000071	0.000058	0.603245	0.359290	0.030669	0.006667
0.160282	0.000167	0.000137	0.586996	0.368824	0.036041	0.007835
0.141035	0.549998	0.450002	0.000000	0.000000	0.000000	0.000000
0.621528	0.539074	0.460926	0.000000	0.000000	0.000000	0.000000
0.635283	0.542815	0.457185	0.000000	0.000000	0.000000	0.000000
