	0.550000	0.450000	0.000000	0.000000	0.000000	0.000000
0.612193	0.617809	0.382191	0.000000	0.000000	0.000000	0.000000
0.645891	0.604369	0.395631	0.000000	0.000000	0.000000	0.000000
0.639819	0.578357	0.421643	0.000000	0.000000	0.000000	0.000000
0.591090	0.442881	0.557119	0.000000	0.000000	0.000000	0.000000
0.636684	0.392560	0.607440	0.000000	0.000000	0.000000	0.000000
0.648609	0.325267	0.674733	0.000000	0.000000	0.000000	0.000000
0.659000	0.254041	0.745959	0.000000	0.000000	0.000000	0.000000
0.629693	0.138335	0.861665	0.000000	0.000000	0.000000	0.000000
0.673158	0.100200	0.899800	0.000000	0.000000	0.000000	0.000000
0.633471	0.072230	0.927770	0.000000	0.000000	0.000000	0.000000
0.651410	0.052366	0.947634	0.000000	0.000000	0.000000	0.000000
0.657482	0.000001	0.000013	0.581122	0.389175	0.015336	0.014353
0.079672	0.000000	0.000000	0.593583	0.394571	0.006893	0.004953
0.098049	0.000002	0.000002	0.596446	0.390106	0.007822	0.005621
0.089867	0.000007	0.000006	0.515578	0.468267	0.009393	0.006749
0.067006	0.549998	0.450002	0.000000	0.000000	0.000000	0.000000
0.640533	0.550267	0.449733	0.000000	0.000000	0.000000	0.000000
0.643875	0.543920	0.456080	0.000000	0.000000	0.000000	0.000000
0.646585	0.526978	0.473022	0.000000	0.000000	0.000000	0.000000
0.648697	0.199778	0.800222	0.000000	0.000000	0.000000	0.000000
0.630881	0.080914	0.919086	0.000000	0.000000	0.000000	0.000000
0.622409	0.046184	0.953817	0.000000	0.000000	0.000000	0.000000
0.667895	0.025988	0.974012	0.000000	0.000000	0.000000	0.000000
0.623504	0.014540	0.985460	0.000000	0.000000	0.000000	0.000000
0.665470	0.008149	0.991851	0.000000	0.000000	0.000000	0.000000
0.644268	0.004614	0.995386	0.000000	0.000000	0.000000	0.000000
0.647734	0.002679	0.997321	0.000000	0.000000	0.000000	0.000000
0.629941	0.000000	0.000030	0.580015	0.403076	0.000781	0.016099
0.101490	0.000000	0.000000	0.589892	0.403826	0.000577	0.005704
0.095620	0.000001	0.000001	0.575850	0.417030	0.000654	0.006464
0.065219	0.000030	0.000025	0.503504	0.488107	0.000766	0.007568
0.099551	0.549996	0.450004	0.000000	0.000000	0.000000	0.000000
0.656157	0.553463	0.446537	0.000000	0.000000	0.000000	0.000000
0.661914	0.541170	0.458830	0.000000	0.000000	0.000000	0.000000
0.658285	0.467868	0.532132	0.000000	0.000000	0.000000	0.000000
0.602547	0.000001	0.000007	0.581031	0.334979	0.068986	0.014997
0.092904	0.000000	0.000000	0.594116	0.358044	0.042145	0.005694
0.065488	0.000005	0.000004	0.603317	0.359333	0.030673	0.006668
0.089877	0.000042	0.000035	0.587129	0.368908	0.036049	0.007837
0.095599	0.549998	0.450002	0.000000	0.000000	0.000000	0.000000
0.646132	0.539074	0.460926	0.000000	0.000000	0.000000	0.000000
0.632555	0.542831	0.457169	0.000000	0.000000	0.000000	0.000000
0.670914	0.468583	0.531417	0.000000	0.000000	0.000000	0.000000
0.676375	0.120579	0.879421	0.000000	0.000000	0.000000	0.000000
0.642488	0.070067	0.929933	0.000000	0.000000	0.000000	0.000000
0.624370	0.039799	0.960201	0.000000	0.000000	0.000000	0.000000
0.643941	0.022336	0.977664	0.000000	0.000000	0.000000	0.000000
0.593008	0.012485	0.987515	0.000000	0.000000	0.000000	0.000000
0.643762	0.007000	0.993000	0.000000	0.000000	0.000000	0.000000
0.661458	0.003974	0.996026	0.000000	0.000000	0.000000	0.000000
0.622230	0.002323	0.997677	0.000000	0.000000	0.000000	0.000000
0.632276	0.000000	0.000005	0.580027	0.403272	0.000594	0.016102
0.071365	0.000001	0.000001	0.616054	0.378161	0.000532	0.005252
0.105774	0.000002	0.000002	0.552345	0.440907	0.000620	0.006124
0.079784	0.000014	0.000011	0.549151	0.442624	0.000754	0.007447
0.073651	0.000159	0.000130	0.134786	0.849180	0.001447	0.014297
