	0.550000	0.450000	0.000000	0.000000	0.000000	0.000000
0.676459	0.617809	0.382191	0.000000	0.000000	0.000000	0.000000
0.602970	0.604369	0.395631	0.000000	0.000000	0.000000	0.000000
0.792079	0.578357	0.421643	0.000000	0.000000	0.000000	0.000000
0.648244	0.442881	0.557119	0.000000	0.000000	0.000000	0.000000
0.653301	0.392560	0.607440	0.000000	0.000000	0.000000	0.000000
0.629526	0.325267	0.674733	0.000000	0.000000	0.000000	0.000000
0.612970	0.254041	0.745959	0.000000	0.000000	0.000000	0.000000
0.573003	0.138335	0.861665	0.000000	0.000000	0.000000	0.000000
0.697673	0.100200	0.899800	0.000000	0.000000	0.000000	0.000000
0.620778	0.072230	0.927770	0.000000	0.000000	0.000000	0.000000
0.783802	0.052366	0.947634	0.000000	0.000000	0.000000	0.000000
0.682313	0.004376	0.108250	0.515679	0.345348	0.013609	0.012737
0.250653	0.008584	0.094808	0.526846	0.358832	0.006262	0.004668
0.299140	0.004760	0.020301	0.580230	0.381334	0.007089	0.006286
0.264384	0.015877	0.026013	0.536858	0.407194	0.008171	0.005887
0.263346	0.545218	0.454782	0.000000	0.000000	0.000000	0.000000
0.688909	0.539134	0.460866	0.000000	0.000000	0.000000	0.000000
0.650310	0.543920	0.456080	0.000000	0.000000	0.000000	0.000000
0.632382	0.526978	0.473022	0.000000	0.000000	0.000000	0.000000
0.642221	0.199778	0.800222	0.000000	0.000000	0.000000	0.000000
0.676139	0.080914	0.919086	0.000000	0.000000	0.000000	0.000000
0.757824	0.046184	0.953816	0.000000	0.000000	0.000000	0.000000
0.765392	0.025988	0.974012	0.000000	0.000000	0.000000	0.000000
0.710017	0.014540	0.985460	0.000000	0.000000	0.000000	0.000000
0.674394	0.008149	0.991851	0.000000	0.000000	0.000000	0.000000
0.717123	0.004614	0.995386	0.000000	0.000000	0.000000	0.000000
0.627841	0.002679	0.997321	0.000000	0.000000	0.000000	0.000000
0.561665	0.000371	0.224843	0.449401	0.312307	0.000605	0.012473
0.273157	0.000161	0.004074	0.601891	0.385166	0.000481	0.008228
0.234383	0.098375	0.080163	0.483296	0.333322	0.000440	0.004405
0.324288	0.048060	0.029168	0.501981	0.414683	0.000665	0.005442
0.250943	0.549979	0.450021	0.000000	0.000000	0.000000	0.000000
0.830456	0.539000	0.461000	0.000000	0.000000	0.000000	0.000000
0.615974	0.541143	0.458857	0.000000	0.000000	0.000000	0.000000
0.776319	0.467856	0.532144	0.000000	0.000000	0.000000	0.000000
0.724896	0.001233	0.009566	0.574760	0.331364	0.068241	0.014835
0.271904	0.000436	0.000801	0.602999	0.363385	0.026598	0.005782
0.264023	0.000049	0.000045	0.603261	0.359338	0.030645	0.006662
0.192311	0.007766	0.006343	0.578931	0.363723	0.035516	0.007721
0.261589	0.549988	0.450012	0.000000	0.000000	0.000000	0.000000
0.693784	0.539072	0.460928	0.000000	0.000000	0.000000	0.000000
0.639608	0.542796	0.457204	0.000000	0.000000	0.000000	0.000000
0.755792	0.468567	0.531433	0.000000	0.000000	0.000000	0.000000
0.683768	0.120455	0.879545	0.000000	0.000000	0.000000	0.000000
0.756123	0.069966	0.930034	0.000000	0.000000	0.000000	0.000000
0.573568	0.039738	0.960262	0.000000	0.000000	0.000000	0.000000
0.668257	0.022305	0.977695	0.000000	0.000000	0.000000	0.000000
0.731509	0.012464	0.987536	0.000000	0.000000	0.000000	0.000000
0.583458	0.006987	0.993013	0.000000	0.000000	0.000000	0.000000
0.623625	0.003967	0.996033	0.000000	0.000000	0.000000	0.000000
0.685897	0.002319	0.997681	0.000000	0.000000	0.000000	0.000000
0.715516	0.001282	0.884007	0.066536	0.046260	0.000068	0.001847
0.330360	0.000001	0.000598	0.579366	0.403813	0.000111	0.016111
0.190882	0.001345	0.001101	0.583477	0.407483	0.000080	0.006514
0.251015	0.004574	0.003748	0.571033	0.413224	0.000091	0.007329
0.243720	0.007178	0.005896	0.543474	0.434665	0.000110	0.008677
0.220685	0.109412	0.089641	0.067718	0.718688	0.000183	0.014357
0.223540	0.453759	0.388256	0.007836	0.147140	0.000063	0.002946
0.304377	0.357639	0.337816	0.052823	0.239472	0.005380	0.006869
0.158746	0.392909	0.461125	0.024074	0.115694	0.002883	0.003315
0.191874	0.000205	0.763247	0.123821	0.093891	0.014726	0.004110
0.202587	0.001494	0.986811	0.005419	0.005836	0.000334	0.000106
0.229597	0.000369	0.998284	0.000677	0.000595	0.000057	0.000018
0.203011	0.002172	0.997828	0.000000	0.000000	0.000000	0.000000
0.600148	0.078785	0.921215	0.000000	0.000000	0.000000	0.000000
0.666770	0.518639	0.481361	0.000000	0.000000	0.000000	0.000000
0.602049	0.983754	0.016247	0.000000	0.000000	0.000000	0.000000
0.703858	0.000000	0.007576	0.915832	0.061706	0.011903	0.002984
0.206124	0.001915	0.028035	0.936953	0.026704	0.005105	0.001289
0.240477	0.002355	0.001830	0.934774	0.052663	0.006012	0.002365Q
0.212863	0.062734	0.051426	0.841550	0.035658	0.006906	0.001727
0.256270	0.549930	0.450070	0.000000	0.000000	0.000000	0.000000
0.634294	0.551320	0.448680	0.000000	0.000000	0.000000	0.000000
0.649194	0.539847	0.460153	0.000000	0.000000	0.000000	0.000000
0.686201	0.463104	0.536896	0.000000	0.000000	0.000000	0.000000
0.677122	0.000000	0.002523	0.579552	0.334154	0.068812	0.014959
0.213040	0.000482	0.000631	0.614164	0.351248	0.027497	0.005978
0.232739	0.002399	0.002036	0.597795	0.359866	0.031136	0.006769
0.232145	0.129539	0.106214	0.440895	0.288655	0.028501	0.006196
0.292497	0.550335	0.449665	0.000000	0.000000	0.000000	0.000000
0.597491	0.535952	0.464048	0.000000	0.000000	0.000000	0.000000
0.528576	0.511733	0.488268	0.000000	0.000000	0.000000	0.000000
0.654857	0.463808	0.536192	0.000000	0.000000	0.000000	0.000000
0.604269	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.734680	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.637042	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.673977	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.703943	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.644525	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.766511	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.637025	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.698812	0.000000	0.999594	0.000236	0.000164	0.000000	0.000007
0.417819	0.000001	0.421604	0.335481	0.233595	0.000000	0.009319
0.322495	0.028126	0.698633	0.157800	0.112157	0.000000	0.003284
0.345310	0.007636	0.179048	0.477526	0.326730	0.000023	0.009037
0.258200	0.024224	0.076295	0.537269	0.357195	0.000050	0.004968
0.254881	0.390464	0.381706	0.124717	0.101821	0.000061	0.001232
0.309095	0.079999	0.105154	0.448793	0.325903	0.029739	0.010411
0.207366	0.232237	0.129025	0.342751	0.280308	0.012661	0.003018
0.212344	0.568538	0.344967	0.043957	0.039805	0.002245	0.000488
0.260410	0.003592	0.861328	0.078277	0.045619	0.009187	0.001997
0.251431	0.001169	0.984721	0.009375	0.003817	0.000754	0.000164
0.185300	0.000996	0.998980	0.000016	0.000007	0.000001	0.000000
0.369630	0.001088	0.998912	0.000000	0.000000	0.000000	0.000000
0.573175	0.001389	0.998611	0.000000	0.000000	0.000000	0.000000
0.568739	0.005279	0.994721	0.000000	0.000000	0.000000	0.000000
0.613556	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.642656	0.000000	0.999506	0.000287	0.000200	0.000000	0.000008
0.331845	0.000005	0.894348	0.061292	0.042653	0.000000	0.001702
0.213148	0.043452	0.035485	0.536817	0.369504	0.000000	0.014741
0.314179	0.093567	0.078290	0.475561	0.347004	0.000036	0.005541
0.225129	0.534917	0.465081	0.000001	0.000001	0.000000	0.000000
0.583145	0.512367	0.487633	0.000000	0.000000	0.000000	0.000000
0.622871	0.485384	0.514616	0.000000	0.000000	0.000000	0.000000
0.716884	0.455957	0.544043	0.000000	0.000000	0.000000	0.000000
0.670956	0.000000	0.999133	0.000504	0.000291	0.000060	0.000013
0.410787	0.000003	0.818429	0.111497	0.068118	0.001605	0.000349
0.161927	0.000838	0.821781	0.120217	0.052574	0.003770	0.000820
0.219282	0.001886	0.956836	0.026499	0.012907	0.001537	0.000334
0.245281	0.001021	0.982381	0.008288	0.007447	0.000704	0.000159
0.228376	0.002333	0.967540	0.013420	0.015584	0.000793	0.000330
0.193606	0.000971	0.997846	0.000608	0.000540	0.000019	0.000016
0.290110	0.000002	0.989992	0.005799	0.004037	0.000014	0.000157
0.244123	0.000025	0.963754	0.021007	0.014630	0.000001	0.000584
0.247162	0.000470	0.715441	0.164753	0.114758	0.000000	0.004578
0.250984	0.111195	0.084789	0.468428	0.323421	0.000000	0.012166
0.299229	0.479118	0.406307	0.065643	0.048230	0.000018	0.000684
0.295957	0.516312	0.483587	0.000061	0.000038	0.000002	0.000001
0.394237	0.460024	0.539976	0.000000	0.000000	0.000000	0.000000
0.609465	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.657168	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.636454	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.648224	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.726751	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.670255	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.731668	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.635980	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.669272	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.647923	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.719921	0.000000	0.000000	0.580022	0.403867	0.000000	0.016112
0.413839	0.003819	0.003125	0.623274	0.362550	0.000000	0.007232
0.249342	0.007244	0.005947	0.574871	0.403877	0.000002	0.008059
0.234595	0.238256	0.195771	0.286954	0.273557	0.000002	0.005460
0.298467	0.553045	0.446947	0.000001	0.000007	0.000000	0.000000
0.480157	0.576011	0.423989	0.000000	0.000000	0.000000	0.000000
0.701112	0.555262	0.444738	0.000000	0.000000	0.000000	0.000000
0.653571	0.505384	0.494616	0.000000	0.000000	0.000000	0.000000
0.653263	0.199777	0.800214	0.000005	0.000003	0.000001	0.000000
0.494490	0.013669	0.155264	0.483805	0.278191	0.056737	0.012334
0.205167	0.021553	0.285900	0.432526	0.233716	0.021608	0.004697
0.269918	0.012322	0.276604	0.431621	0.248103	0.025752	0.005598
0.234842	0.072286	0.927692	0.000012	0.000009	0.000001	0.000000
0.479084	0.046479	0.953521	0.000000	0.000000	0.000000	0.000000
0.664112	0.187662	0.812338	0.000000	0.000000	0.000000	0.000000
0.740319	0.345507	0.654493	0.000000	0.000000	0.000000	0.000000
0.672303	0.445053	0.554947	0.000000	0.000000	0.000000	0.000000
0.663360	0.647214	0.352786	0.000000	0.000000	0.000000	0.000000
0.713654	0.868437	0.131563	0.000000	0.000000	0.000000	0.000000
0.680191	0.937327	0.062673	0.000000	0.000000	0.000000	0.000000
0.739507	0.900286	0.099713	0.000000	0.000000	0.000000	0.000000
0.553478	0.913099	0.086902	0.000000	0.000000	0.000000	0.000000
0.654519	0.938824	0.061176	0.000000	0.000000	0.000000	0.000000
0.706820	0.943229	0.056771	0.000000	0.000000	0.000000	0.000000
0.657414	0.932837	0.067163	0.000000	0.000000	0.000000	0.000000
0.599007	0.070487	0.018306	0.529353	0.309315	0.058805	0.013734
0.273297	0.003251	0.002441	0.604054	0.353166	0.030341	0.006747
0.248268	0.001226	0.001090	0.605161	0.353124	0.032350	0.007048
0.227843	0.516664	0.419414	0.037954	0.023074	0.002377	0.000517
0.378485	0.540470	0.459530	0.000000	0.000000	0.000000	0.000000
0.753481	0.545432	0.454568	0.000000	0.000000	0.000000	0.000000
0.675879	0.478528	0.521472	0.000000	0.000000	0.000000	0.000000
0.653960	0.294181	0.704263	0.000904	0.000521	0.000107	0.000023
0.393303	0.065139	0.384163	0.320051	0.184450	0.037948	0.008250
0.257487	0.030808	0.313069	0.408104	0.221121	0.022095	0.004803
0.240981	0.033683	0.505097	0.292107	0.150029	0.015676	0.003408
0.253167	0.031810	0.852327	0.063645	0.046345	0.004825	0.001049
0.263389	0.013024	0.768216	0.106450	0.092123	0.016582	0.003605
0.182229	0.024165	0.958838	0.001927	0.012235	0.002318	0.000517
0.251975	0.004907	0.993085	0.000875	0.001003	0.000094	0.000037
0.280748	0.002880	0.986162	0.006325	0.004427	0.000034	0.000172
0.240094	0.001856	0.976986	0.012269	0.008534	0.000015	0.000341
0.238003	0.001514	0.787159	0.122561	0.085339	0.000022	0.003405
0.213374	0.004464	0.549624	0.258294	0.180864	0.000028	0.006726
0.206572	0.014736	0.983438	0.001076	0.000729	0.000000	0.000020
0.373559	0.007337	0.992661	0.000001	0.000001	0.000000	0.000000
0.554716	0.020983	0.979016	0.000000	0.000000	0.000000	0.000000
0.591799	0.086752	0.913248	0.000000	0.000000	0.000000	0.000000
0.628338	0.435554	0.564446	0.000000	0.000000	0.000000	0.000000
0.742599	0.002431	0.997570	0.000000	0.000000	0.000000	0.000000
0.694099	0.002355	0.997645	0.000000	0.000000	0.000000	0.000000
0.639975	0.002282	0.997718	0.000000	0.000000	0.000000	0.000000
0.701674	0.002211	0.997789	0.000000	0.000000	0.000000	0.000000
0.699676	0.002142	0.997858	0.000000	0.000000	0.000000	0.000000
0.580321	0.002076	0.997924	0.000000	0.000000	0.000000	0.000000
0.655187	0.002011	0.997989	0.000000	0.000000	0.000000	0.000000
0.719879	0.001949	0.998051	0.000000	0.000000	0.000000	0.000000
0.634259	0.000931	0.492120	0.294042	0.204669	0.000071	0.008167
